Key;English;Vietnamese
common.input.is-required;is required;bắt buộc nhập
common.loading;Loading...;Đang tải...
common.password.policy-1;Must contain lower case character;Phải chứa một ký tự chữ in thường
common.password.policy-2;Must contain upper case character;Phải chứa một ký tự chữ in hoa
common.password.policy-3;Must contain digit;Phải chứa một ký tự số
common.password.policy-4;Must contain a special character;Phải chứa một ký tự đặc biệt
common.password.policy-5;Text length at least 8;Ít nhất 8 ký tự
common.date.today;Today;Hôm nay
common.date.yesterday;Yesterday;Hôm qua
common.date.mon;Mon;Thứ 2
common.date.tue;Tue;Thứ 3
common.date.wed;Wed;Thứ 4
common.date.thu;Thu;Thứ 5
common.date.fri;Fri;Thứ 6
common.date.sat;Sat;Thứ 7
common.date.sun;Sun;Chủ nhật
page.home.title;Home;Trang chủ
page.history.no-games;No finished games yet;Chưa có trận đấu nào hoàn thành
page.replay.title;Game Replay;Xem lại ván đấu
page.replay.no-moves;No moves to replay;Không có nước đi để xem lại
page.replay.play;Play;Phát
page.replay.pause;Pause;Tạm dừng
page.replay.end-title;Game over;Ván đấu kết thúc
page.replay.reason-checkmate;{{name}} won by checkmate;{{name}} thắng bằng chiếu bí
page.replay.reason-stalemate;Stalemate;Hết nước đi
page.replay.reason-perpetual-check;{{name}} won by opponent's perpetual check;{{name}} thắng do đối thủ chiếu tướng liên tục
page.replay.reason-surrender;{{name}} surrendered;{{name}} đã đầu hàng
page.replay.reason-leave;{{name}} left the game;{{name}} đã rời trận
page.replay.reason-draw;Draw;Hoà
page.replay.reason-timeout;{{name}} ran out of total game time;{{name}} đã hết giờ cả ván
page.replay.reason-per-move-timeout;{{name}} ran out of time for a move;{{name}} đã hết giờ cho một nước đi
page.replay.reason-ended;The game has ended;Ván đấu đã kết thúc
menu.app-name;Xiangqi;Cờ tướng
menu.profile;Profile;Trang cá nhân
menu.messages;Message;Tin nhắn
menu.change-password;Change password;Đổi mật khẩu
menu.guide;Guide;Luật chơi
menu.announce;Announcement;Thông báo
menu.extra;Daily tasks;Kiếm tiền
menu.leaderboard;Leaderboard;Bảng xếp hạng
menu.setting.button;Settings;Cài đặt
menu.app-name;Xiangqi;Cờ tướng
menu.home;Home;Trang chủ
menu.expired;Set expired;Hết hạn token
menu.logout;Logout;Đăng xuất
announce.title;Announcement;Thông báo
announce.placeholder;Type an announcement...;Nhập thông báo...
announce.empty;No announcements yet;Chưa có thông báo nào
announce.loading-older;Loading older announcements...;Đang tải thông báo cũ hơn...
achievement.title-01;Checkmate an opponent who still has 13 or more pieces;Chiếu bí khi đối thủ vẫn còn >= 13 quân
achievement.title-02;Win your first game;Thắng trận đầu khi chơi game
achievement.title-03;Leave your opponent with no legal moves;Đánh cho đối thủ không còn nước đi
achievement.title-04;Defeat opponents of equal or higher rank in 10 games;Thắng đối thủ cùng hoặc hơn đẳng cấp 10 ván
achievement.title-05;Hold a draw with only your king remaining;Cầm hoà đối thủ khi chỉ còn tướng
achievement.title-06;Win 100 games;Thắng 100 trận
achievement.title-07;Draw 50 games;Hoà 50 trận
achievement.title-08;Checkmate an opponent with only 1 attacking piece remaining;Chiếu bí khi đối thủ khi chỉ còn 1 quân tấn công
achievement.title-09;Checkmate an opponent with only a knight remaining;Chiếu bí khi đối thủ khi chỉ còn mã
achievement.title-10;Checkmate an opponent with only a pawn remaining;Chiếu bí khi đối thủ khi chỉ còn tốt
achievement.title-11;Checkmate an opponent with only a cannon remaining;Chiếu bí khi đối thủ khi chỉ còn pháo
achievement.title-12;Defeat opponents with master rank in 50 games;Thắng đối thủ có đẳng cấp kỳ thủ 50 ván
achievement.tab-title;Achievements;Thành tựu
achievement.messages.success;Success;Thành công
achievement.messages.invalid-user-id;Invalid user ID;ID người dùng không hợp lệ
achievement.messages.internal-server-error;Internal server error;Lỗi máy chủ
chat.conversation.you;You;Bạn
chat.messages.unread;Unread messages;Tin nhắn chưa đọc
search.user.title;Search user;Tìm kiếm
search.user.placeholder;Search user...;Tìm kiếm người dùng...
search.user.no-results;No users found;Không tìm thấy người dùng
search.button.search;Search;Tìm kiếm
leaderboard.title;Leaderboard;Bảng xếp hạng
leaderboard.search-placeholder;Search user...;Tìm kiếm người dùng...
leaderboard.no-results;No users found;Không tìm thấy người dùng
leaderboard.empty;No players yet;Chưa có người chơi nào
dashboard.page.title;Room list;Danh sách phòng
dashboard.filters.all;All;Tất cả
dashboard.filters.available;Available;Chờ
dashboard.filters.playing;Playing;Đang chơi
dashboard.feedback.empty;No room tables match the selected filter.;Không có bàn chơi phù hợp với bộ lọc đã chọn.
dashboard.feedback.error;Unable to load room tables.;Không tải được danh sách phòng chơi.
dashboard.status.unknown;Unknown;Không xác định
dashboard.room.create;Create room;Tạo phòng chơi
dashboard.popup.piece-selection;Select team;Chọn quân
dashboard.popup.red-first;Red first;Đỏ tiên
dashboard.popup.pve-mode;PVE mode;Chơi với máy
dashboard.popup.bet-amount;Bet amount;Giá trị cược
dashboard.popup.time-limit;Time limit;Giới hạn thời gian
dashboard.popup.time-limit-per-player;Time per player;Thời gian mỗi người
dashboard.popup.time-unlimited;Unlimited;Không giới hạn
dashboard.popup.time-minutes;{0} min;{0} phút
dashboard.popup.time-seconds;{0}s;{0}s
dashboard.popup.time-off;Off;Tắt
dashboard.popup.time-increment;Bonus per move;Cộng giờ mỗi nước
dashboard.popup.time-per-move;Time per move;Thời gian mỗi nước
dashboard.popup.room-name-label;Room table name;Tên phòng chơi
dashboard.popup.room-name-helptext;is required;không được để trống
dashboard.popup.play;Play;Chơi
dashboard.popup.view;View;Xem
settings.header;Settings;Cài đặt
settings.language;Language;Ngôn ngữ
settings.dark-mode;Dark mode;Chế độ tối
settings.sound;Sound;Âm thanh
settings.debug-mode;Debug mode;Chế độ test
settings.connected-accounts.label;Connected accounts;Tài khoản liên kết
settings.connected-accounts.link-facebook;Link Facebook;Liên kết Facebook
settings.connected-accounts.unlink-facebook;Unlink Facebook;Huỷ liên kết Facebook
settings.connected-accounts.link-success;Facebook linked successfully;Đã liên kết Facebook
settings.connected-accounts.unlink-success;Facebook unlinked;Đã huỷ liên kết Facebook
settings.connected-accounts.link-error;Could not update Facebook link;Không cập nhật được liên kết Facebook
settings.close;Close;Đóng
popup.alert.title;Warning;Cảnh báo
popup.confirm.title;Confirm;Xác nhận
popup.confirm.ok;Ok;Ok
popup.confirm.cancel;Cancel;Huỷ
game.general.captured;General has been captured. Room over;Tướng đã bị bắt. Game kết thúc
